time_s,reference_position_m,current_position_m
11.880352,0.000000,-0.000000
11.890027,0.000000,-0.000000
11.900075,0.000000,-0.000000
11.910078,0.000000,-0.000000
11.920165,0.000000,-0.000000
11.930100,0.000000,-0.000000
11.940072,0.000000,-0.000000
11.950160,0.000000,-0.000000
11.960722,0.000000,-0.000000
11.970487,0.000000,-0.000000
11.980074,0.000000,-0.000000
11.990087,0.000000,-0.000000
12.000092,0.000000,-0.000000
12.010367,0.000000,-0.000000
12.020071,0.000000,-0.000000
12.030184,0.000000,-0.000000
12.040088,0.000000,-0.000000
12.050248,0.000000,-0.000000
12.060440,0.000000,-0.000000
12.070233,0.000000,-0.000000
12.080127,0.000000,-0.000000
12.090088,0.000000,-0.000000
12.100071,0.000000,-0.000000
12.110082,0.000000,-0.000000
12.120146,0.000000,-0.000000
12.130288,0.000000,-0.000000
12.140113,0.000000,-0.000000
12.150283,0.000000,-0.000000
12.160083,0.000000,-0.000000
12.170146,0.000000,-0.000000
12.180075,0.000000,-0.000000
12.190088,0.000000,-0.000000
12.200124,0.000000,-0.000000
12.210229,0.000000,-0.000000
12.220376,0.000000,-0.000000
12.230123,0.000000,-0.000000
12.240112,0.000000,-0.000000
12.250124,0.000000,-0.000000
12.260120,0.000000,-0.000000
12.270123,0.000000,-0.000000
12.280077,0.000000,-0.000000
12.290113,0.000000,-0.000000
12.300142,0.000000,-0.000000
12.310083,0.000000,-0.000000
12.320329,0.000000,-0.000000
12.330075,0.000000,-0.000000
12.340107,0.000000,-0.000000
12.350125,0.000000,-0.000000
12.360130,0.000000,-0.000000
12.370123,0.000000,-0.000000
12.380121,0.000000,-0.000000
12.390128,0.000000,-0.000000
12.400121,0.000000,-0.000000
12.410119,0.000000,-0.000000
12.420097,0.000000,-0.000000
12.430414,0.000000,-0.000000
12.440099,0.000000,-0.000000
12.450082,0.000000,-0.000000
12.460209,0.000000,-0.000000
12.470234,0.000000,-0.000000
12.480145,0.000000,-0.000000
12.490152,0.000000,-0.000000
12.500258,0.000000,-0.000000
12.510754,0.000000,-0.000000
12.520160,0.000000,-0.000000
12.530116,0.000000,-0.000000
12.540083,0.000000,-0.000000
12.550079,0.000000,-0.000000
12.560365,0.000000,-0.000000
12.570118,0.000000,-0.000000
12.580080,0.000000,-0.000000
12.590105,0.000000,-0.000000
12.600075,0.000000,-0.000000
12.610087,0.000000,-0.000000
12.620090,0.000000,-0.000000
12.630091,0.000000,-0.000000
12.640149,0.000000,-0.000000
12.650137,0.000000,-0.000000
12.660156,0.000000,-0.000000
12.670098,0.000000,-0.000000
12.680215,0.000000,-0.000000
12.690084,0.000000,-0.000000
12.700115,0.000000,-0.000000
12.710134,0.000000,-0.000000
12.720412,0.000000,-0.000000
12.730098,0.000000,-0.000000
12.740121,0.000000,-0.000000
12.750125,0.000000,-0.000000
12.760098,0.000000,-0.000000
12.770359,0.000000,-0.000000
12.780112,0.000000,-0.000000
12.790120,0.000000,-0.000000
12.800075,0.000000,-0.000000
12.810146,0.000000,-0.000000
12.820121,0.000000,-0.000000
12.830086,0.000000,-0.000000
12.840172,0.000000,-0.000000
12.850122,0.000000,-0.000000
12.860115,0.000000,-0.000000
12.870269,0.000000,-0.000000
12.880610,0.000000,-0.000000
12.890124,0.000000,-0.000000
12.900229,0.000000,-0.000000
12.910097,0.000000,-0.000000
12.920102,0.000000,-0.000000
12.930329,0.000000,-0.000000
12.940301,0.000000,-0.000000
12.950088,0.000000,-0.000000
12.960095,0.000000,-0.000000
12.970137,0.000000,-0.000000
12.980097,0.000000,-0.000000
12.990282,0.000000,-0.000000
13.000128,0.000000,-0.000000
13.010127,0.000000,-0.000000
13.020150,0.000000,-0.000000
